170,09;187,94;205,79;223,63;241,62;259,62;277,60;295,59;313,58;331,57;349,55;367,55;385,53;403,52;421,52;439,50;458,02;476,14;494,25;512,35;530,49;548,59;566,69;584,81;602,92;621,02;639,12;657,24;675,35;693,45;711,58;729,69;747,79;765,91;784,01;802,12;820,27;838,39;856,52;874,65;892,79;910,91;929,05;947,17;965,31;983,44
172,57;190,87;209,16;227,46;245,90;264,33;282,76;301,21;319,64;338,07;356,51;374,95;393,38;411,82;430,25;448,68;467,70;486,25;504,80;523,36;541,91;560,46;579,03;597,58;616,13;634,69;653,26;671,81;690,36;708,92;727,47;746,02;764,59;783,14;801,69;820,27;838,82;857,38;875,98;894,54;913,12;931,70;950,28;968,85;987,44;1006,01
175,07;193,82;212,56;231,30;250,18;269,05;287,94;306,82;325,70;344,59;363,46;382,34;401,23;420,11;438,98;457,87;477,34;496,33;515,34;534,35;553,35;572,36;591,36;610,36;629,35;648,36;667,36;686,36;705,37;724,38;743,37;762,39;781,38;800,38;819,39;838,39;857,38;876,39;895,42;914,43;933,47;952,48;971,51;990,54;1009,56;1028,59
177,56;196,75;215,94;235,12;254,45;273,78;293,11;312,43;331,77;351,09;370,41;389,75;409,07;428,39;447,73;467,05;486,99;506,45;525,89;545,33;564,79;584,23;603,68;623,12;642,59;662,03;681,48;700,93;720,38;739,82;759,28;778,72;798,16;817,62;837,08;856,52;875,98;895,42;914,86;934,33;953,81;973,28;992,75;1012,22;1031,68;1051,17
180,05;199,68;219,31;238,95;258,73;278,50;298,27;318,05;337,82;357,59;377,38;397,14;416,91;436,70;456,46;476,23;496,65;516,54;536,43;556,34;576,23;596,12;616,01;635,91;655,80;675,69;695,59;715,48;735,37;755,29;775,18;795,07;814,97;834,86;854,75;874,65;894,54;914,43;934,33;954,24;974,14;994,08;1013,98;1033,90;1053,82;1073,74
182,55;202,63;222,71;242,79;263,00;283,22;303,45;323,66;343,88;364,11;384,32;404,54;424,77;444,98;465,20;485,43;506,30;526,64;546,99;567,32;587,66;607,99;628,34;648,69;669,03;689,38;709,71;730,05;750,40;770,73;791,07;811,42;831,75;852,10;872,45;892,79;913,12;933,47;953,81;974,14;994,49;1014,86;1035,21;1055,59;1075,94;1096,30
185,03;205,56;226,09;246,61;267,27;287,95;308,61;329,27;349,95;370,61;391,27;411,95;432,61;453,27;473,95;494,61;515,94;536,74;557,54;578,32;599,10;619,89;640,68;661,46;682,25;703,03;723,82;744,61;765,41;786,19;806,98;827,77;848,55;869,34;890,12;910,91;931,70;952,48;973,28;994,08;1014,86;1035,64;1056,45;1077,26;1098,06;1118,88
187,52;208,49;229,46;250,44;271,56;292,67;313,77;334,90;356,00;377,11;398,23;419,34;440,45;461,57;482,68;503,79;525,61;546,84;568,07;589,30;610,54;631,77;652,99;674,25;695,48;716,71;737,95;759,18;780,40;801,65;822,87;844,10;865,34;886,59;907,81;929,05;950,28;971,51;992,75;1013,98;1035,21;1056,45;1077,68;1098,93;1120,21;1141,45
190,02;211,44;232,86;254,28;275,83;297,38;318,95;340,51;362,06;383,63;405,18;426,74;448,30;469,86;491,41;512,98;535,25;556,93;578,62;600,30;621,98;643,65;665,34;687,01;708,69;730,38;752,05;773,73;795,43;817,10;838,78;860,46;882,14;903,81;925,50;947,17;968,85;990,54;1012,22;1033,90;1055,59;1077,26;1098,93;1120,62;1142,33;1164,02
192,51;214,37;236,24;258,10;280,10;302,12;324,12;346,12;368,13;390,13;412,13;434,15;456,15;478,15;500,16;522,16;544,91;567,03;589,16;611,28;633,40;655,54;677,67;699,79;721,93;744,05;766,17;788,30;810,42;832,54;854,68;876,80;898,93;921,07;943,19;965,31;987,44;1009,56;1031,68;1053,82;1075,94;1098,06;1120,21;1142,33;1164,45;1186,58
195,01;217,32;239,63;261,94;284,40;306,85;329,29;351,76;374,20;396,65;419,11;441,56;464,00;486,46;508,91;531,35;554,55;577,15;599,71;622,28;644,86;667,43;689,99;712,57;735,14;757,71;780,29;802,87;825,43;848,01;870,58;893,15;915,73;938,29;960,86;983,44;1006,01;1028,59;1051,17;1073,74;1096,30;1118,88;1141,45;1164,02;1186,58;1209,16
